rule_id,category,drug_class,example_drugs,action,timing,rationale,consult,guideline_source,version_date
1,Cardiovascular,Diuretics,Hydrochlorothiazide;Furosemide;Spironolactone,HOLD,Morning of surgery,Held except in heart-failure patients whose fluid balance is hard to manage; watch fluid/electrolytes; resume with oral fluids,,KHCC GDLPT-25,2022-08-17
2,Cardiovascular,ACE inhibitors and ARBs,Captopril;Enalapril;Candesartan;Valsartan,HOLD,Morning dose,Hold morning dose UNLESS indication is heart failure or poorly controlled hypertension; continuation can cause prolonged hypotension; resume post-op if not hypotensive and renal function normal,,KHCC GDLPT-25,2022-08-17
3,Cardiovascular,Beta-blockers,Atenolol;Bisoprolol;Propranolol;Metoprolol;Carvedilol,CONTINUE,Perioperative,"Reduces ischemia and arrhythmia; abrupt withdrawal can cause hypertension, tachycardia, myocardial ischemia",,KHCC GDLPT-25,2022-08-17
4,Cardiovascular,Calcium channel blockers,Amlodipine;Nifedipine;Diltiazem;Verapamil,CONTINUE,Perioperative,Conflicting evidence on increased bleeding risk,,KHCC GDLPT-25,2022-08-17
5,Cardiovascular,Alpha-1 blockers,Doxazosin;Tamsulosin;Alfuzosin,CONTINUE,Perioperative,May increase risk of Intraoperative Floppy Iris Syndrome (IFIS) in ophthalmic surgery,,KHCC GDLPT-25,2022-08-17
6,Cardiovascular,Central alpha-2 agonists,Clonidine,CONTINUE,Perioperative,Abrupt withdrawal can precipitate rebound hypertension and myocardial ischemia,,KHCC GDLPT-25,2022-08-17
7,Cardiovascular,Non-statin hypolipidemics,Niacin;Gemfibrozil;Cholestyramine;Ezetimibe,DISCONTINUE,Day before surgery,Can cause myopathy/rhabdomyolysis and interfere with bowel absorption; resume with oral intake,,KHCC GDLPT-25,2022-08-17
8,Cardiovascular,Statins,Simvastatin;Atorvastatin;Rosuvastatin,CONTINUE,Perioperative,Small myopathy risk but provides cardiovascular protection and plaque stabilization,,KHCC GDLPT-25,2022-08-17
9,Cardiovascular,Digoxin,Digoxin,CONTINUE,Perioperative,Decreases incidence of postoperative supraventricular arrhythmias,,KHCC GDLPT-25,2022-08-17
10,Cardiovascular,Nitric oxide vasodilators,Isosorbide dinitrate;Hydralazine,CONTINUE,Perioperative,Resume hydralazine unless blood pressure is low (hypotension risk),,KHCC GDLPT-25,2022-08-17
11,Cardiovascular,Antiarrhythmic,Amiodarone,CONTINUE,Perioperative,Check drug-drug interactions; suppresses arrhythmia,,KHCC GDLPT-25,2022-08-17
12,Hemostasis,Aspirin,Aspirin,CONDITIONAL,Depends on risk assessment,"Continue vs discontinue depends on bleeding vs thrombosis risk, indication (primary vs secondary prophylaxis), and cardiologist/surgeon judgment",Cardiology/Surgeon,KHCC GDLPT-25,2022-08-17
13,Hemostasis,P2Y12 receptor blockers,Clopidogrel;Prasugrel;Ticagrelor;Ticlopidine,DISCONTINUE,5-10 days before surgery,"Timing per cardiac, bleeding and coagulation risk; when resuming clopidogrel consider loading dose 300-600 mg for 1 day",Cardiology,KHCC GDLPT-25,2022-08-17
14,Hemostasis,Dipyridamole,Dipyridamole,DISCONTINUE,2 days before surgery,No data on safety if continued perioperatively,,KHCC GDLPT-25,2022-08-17
15,Hemostasis,Cilostazol,Cilostazol,DISCONTINUE,2-3 days before elective surgery,,,KHCC GDLPT-25,2022-08-17
16,Hemostasis,NSAIDs,Ibuprofen;Celecoxib;Diclofenac,DISCONTINUE,At least 3 days before (ibuprofen up to 24 h before elective),Balance bleeding risk vs pain management,,KHCC GDLPT-25,2022-08-17
17,Anticoagulant,Vitamin K antagonists,Warfarin,DISCONTINUE,5 days before surgery,"Monitor INR day before; if >1.5 consider low-dose oral vitamin K. Mechanical valve, AF, or recent thromboembolism may need bridging (LMWH/UFH from day -3; restart warfarin 12 h post-op until INR 2-3)",Cardiology,KHCC GDLPT-25,2022-08-17
18,Anticoagulant,Direct thrombin inhibitor,Dabigatran,DISCONTINUE,2-3 days before surgery,Bridging therapy may be required,Cardiology,KHCC GDLPT-25,2022-08-17
19,Anticoagulant,Direct factor Xa inhibitors,Rivaroxaban;Apixaban;Edoxaban;Fondaparinux,DISCONTINUE,2-3 days before (fondaparinux 36-42 h before),Resume fondaparinux 6-8 h post-op; bridging may be required,Cardiology,KHCC GDLPT-25,2022-08-17
20,Anticoagulant,Low molecular weight heparin,Enoxaparin;Tinzaparin,DISCONTINUE,24 h before surgery,Resume 12-24 h after surgery,,KHCC GDLPT-25,2022-08-17
21,Anticoagulant,Unfractionated heparin,Heparin,DISCONTINUE,4-6 h before surgery,Resume 12 h after surgery,,KHCC GDLPT-25,2022-08-17
22,Endocrine/Diabetic,Sulfonylureas,Glimepiride;Glibenclamide;Gliclazide,HOLD,Morning of surgery,Increased risk of hypoglycemia,,KHCC GDLPT-25,2022-08-17
23,Endocrine/Diabetic,Biguanides,Metformin,HOLD,Morning of surgery,"Contraindicated with decreased renal perfusion, lactate accumulation or tissue hypoxia",,KHCC GDLPT-25,2022-08-17
24,Endocrine/Diabetic,Thiazolidinediones,Pioglitazone;Rosiglitazone,HOLD,Morning of surgery,"Worsen fluid retention, peripheral edema; may precipitate CHF",,KHCC GDLPT-25,2022-08-17
25,Endocrine/Diabetic,SGLT2 inhibitors,Canagliflozin;Dapagliflozin;Empagliflozin,HOLD,Morning of surgery,Increased risk of hypovolemia,,KHCC GDLPT-25,2022-08-17
26,Endocrine/Diabetic,DPP-4 inhibitors and GLP-2,Sitagliptin;Vildagliptin;Saxagliptin;Linagliptin;Teduglutide,HOLD,Morning of surgery,May alter gastrointestinal motility,,KHCC GDLPT-25,2022-08-17
27,Endocrine/Diabetic,Short-acting insulin,Aspart;Lispro;Glulisine,HOLD,While NPO,Keep patient on insulin sliding scale or infusion,,KHCC GDLPT-25,2022-08-17
28,Endocrine/Diabetic,Intermediate-acting insulin,Regular insulin (Actrapid),HOLD,While NPO,Keep patient on insulin sliding scale or infusion,,KHCC GDLPT-25,2022-08-17
